,VIF_Value,VIF_Wages
age,1.403886183,1.403886183
pace,2.077324585,2.077324585
shooting,4.956674053,4.956674053
passing,6.111059149,6.111059149
dribbling,7.182831036,7.182831036
defending,4.086310672,4.086310672
physic,2.182733051,2.182733051
Mins_Total,3.037890677,3.037890677
Goals_total,3.755903018,3.755903018
Assists_Total,2.277661121,2.277661121
Shots_per_game_total,2.889202199,2.889202199
Yellow_Cards_Total,1.958765163,1.958765163
Red_Cards_Total,1.132587828,1.132587828
Aerial_Battles_Won_Per_Game_Total,1.887723805,1.887723805
Man_of_The_Match_Total,2.573597787,2.573597787
