"","S.No.","sofifa_id","short_name","long_name","Market_Value","Wages","age","pace","shooting","passing","dribbling","defending","physic","Mins_Total","Goals_total","Assists_Total","Shots_per_game_total","Yellow_Cards_Total","Red_Cards_Total","Aerial_Battles_Won_Per_Game_Total","Man_of_The_Match_Total","Player_international_reputation","weak_foot","Club_Int_Prestige","Club_Domestic_Prestige","Player_Continent","Club_Continent","preferred_foot","Position_Final","Clusters"
"34",34,232363,"M. Škriniar","Milan Škriniar",52,90,24,69,41,59,66,87,82,3947,0,1,1.699999928,8,0,5,0,1,4,7,9,"Europe","Europe Tier 1","Right","Defense",2
"38",38,205600,"S. Umtiti","Samuel Umtiti",50,200,25,69,63,69,69,86,82,1269,0,1,0.100000001,4,1,1.899999976,0,3,3,10,10,"Europe","Europe Tier 1","Left","Defense",2
"47",47,212190,"N. Süle","Niklas Süle",46.5,110,23,72,42,55,50,86,82,3103,2,0,0.900000036,3,0,5.099999905,0,2,3,9,10,"Europe","Europe Tier 1","Right","Defense",2
"57",57,216460,"J. Giménez","José María Giménez de Vargas",45,70,24,69,45,52,54,86,82,2134,2,0,1.299999952,8,0,4.900000095,1,2,3,9,9,"South America","Europe Tier 1","Right","Defense",2
"87",87,220814,"L. Hernández","Lucas Hernández",37.5,110,23,81,54,70,71,83,82,1569,1,0,0.400000006,6,0,2.800000191,1,3,3,9,10,"Europe","Europe Tier 1","Left","Defense",2
"88",88,192774,"K. Manolas","Kostas Manolas",37.5,100,28,82,25,42,60,86,81,2988,2,1,1.399999976,6,0,5.099999905,1,3,2,7,9,"Europe","Europe Tier 1","Right","Defense",2
"106",106,219683,"C. Tolisso","Corentin Tolisso",34,110,24,69,77,79,78,76,79,52,1,0,0.5,0,0,1,0,2,3,9,10,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"121",121,210413,"A. Romagnoli","Alessio Romagnoli",32,50,24,63,40,55,66,85,79,3126,2,0,0.600000024,8,1,4.799999714,1,2,3,7,7,"Europe","Europe Tier 1","Left","Defense",2
"127",127,198176,"S. de Vrij","Stefan de Vrij",31.5,90,27,66,41,62,68,86,74,3232,2,1,1.899999976,3,0,5.699999809,1,3,4,7,9,"Europe","Europe Tier 1","Right","Defense",2
"133",133,229237,"M. Akanji","Manuel Obafemi Akanji",31,80,23,78,45,68,72,83,80,2656,1,0,0.699999988,2,0,3.399999857,0,2,3,7,9,"Europe","Europe Tier 1","Right","Defense",2
