iter	RMSE
0	9.694404795
1	9.430404259
2	9.193025758
3	8.929711635
4	8.711269434
5	8.493733276
6	8.262185566
7	8.055070038
8	7.844046076
9	7.637811082
10	7.447654942
11	7.286853621
12	7.101554947
13	6.924070909
14	6.762913456
15	6.602625951
16	6.462611492
17	6.321005068
18	6.20421226
19	6.065395187
20	5.935557066
21	5.806228376
22	5.684991604
23	5.57536615
24	5.456776482
25	5.343541284
26	5.22945779
27	5.131887429
28	5.039509209
29	4.939685425
30	4.852252247
31	4.748516391
32	4.674032079
33	4.598453208
34	4.52751771
35	4.447232902
36	4.369963869
37	4.298946068
38	4.238949652
39	4.180051358
40	4.111366527
41	4.053447305
42	4.002473552
43	3.949411855
44	3.903899514
45	3.859775118
46	3.80517003
47	3.753347919
48	3.710124825
49	3.670275714
50	3.614914421
51	3.578106089
52	3.536772974
53	3.489214916
54	3.457578971
55	3.422256036
56	3.3837493
57	3.344819942
58	3.307536373
59	3.276448864
60	3.238335589
61	3.205653134
62	3.172516278
63	3.145037289
64	3.118234716
65	3.079840878
66	3.057260357
67	3.026781489
68	3.001664593
69	2.983416939
70	2.952370701
71	2.931856208
72	2.91449191
73	2.893791061
74	2.866978679
75	2.846029494
76	2.823384986
77	2.804800876
78	2.78139421
79	2.75964398
80	2.745060613
81	2.722953194
82	2.70018184
83	2.686470546
84	2.669982633
85	2.655082843
86	2.637825661
87	2.624694437
88	2.605527224
89	2.59103136
90	2.581172926
91	2.564576888
92	2.55384917
93	2.539668667
94	2.524244341
95	2.512197437
96	2.501307947
97	2.488784354
98	2.479075831
99	2.466388161
100	2.450347919
101	2.442368578
102	2.431603185
103	2.423290375
104	2.411645817
105	2.399666814
106	2.386998597
107	2.380536723
108	2.367982897
109	2.357693605
110	2.351457914
111	2.34170075
112	2.329830965
113	2.318252141
114	2.310121804
115	2.299385607
116	2.293532579
117	2.282430784
118	2.275012706
119	2.266588005
120	2.256496429
121	2.250946442
122	2.249718615
123	2.237536219
124	2.228419997
125	2.221948979
126	2.216197106
127	2.211774861
128	2.205143718
129	2.195487537
130	2.189465761
131	2.181666619
132	2.173071289
133	2.162310377
134	2.154918357
135	2.148199096
136	2.140279911
137	2.133301735
138	2.127578299
139	2.121915643
140	2.116989367
141	2.111664078
142	2.103561125
143	2.095689079
144	2.091887194
145	2.083560922
146	2.077995148
147	2.069469356
148	2.063913686
149	2.059541603
150	2.054589066
151	2.044355555
152	2.037295371
153	2.029827195
154	2.024341191
155	2.017377379
156	2.015690485
157	2.012446652
158	2.005492831
159	1.998401116
160	1.992474677
161	1.987468141
162	1.982172411
163	1.974043105
164	1.965429147
165	1.960495324
166	1.955451947
167	1.95107801
168	1.945718543
169	1.938652816
170	1.931457908
171	1.923719218
172	1.918298905
173	1.912684002
174	1.906310962
175	1.900144401
176	1.893366626
177	1.889068513
178	1.882625311
179	1.876203291
180	1.869522359
181	1.862311229
182	1.857652509
183	1.85229652
184	1.848133925
185	1.844486362
186	1.837642444
187	1.833491323
188	1.826494003
189	1.818717156
190	1.812499878
191	1.806939575
192	1.799157106
193	1.794724125
194	1.7882274
195	1.781483223
196	1.776755136
197	1.770593129
198	1.766240226
199	1.760243054
200	1.754769344
201	1.749496511
202	1.742948866
203	1.737279379
204	1.733045123
205	1.727466958
206	1.72220161
207	1.718026138
208	1.714119334
209	1.706991782
210	1.700932782
211	1.693620859
212	1.688703635
213	1.683235914
214	1.678362989
215	1.671735697
216	1.666281072
217	1.661813917
218	1.65765405
219	1.653199591
220	1.648307348
221	1.645372707
222	1.640114513
223	1.636089954
224	1.631686274
225	1.628622727
226	1.622570446
227	1.618658812
228	1.614355333
229	1.610236194
230	1.60634139
231	1.602623025
232	1.598643047
233	1.593247952
234	1.589261389
235	1.584926862
236	1.582019433
237	1.575830159
238	1.57130744
239	1.56789177
240	1.564227683
241	1.56030062
242	1.557526408
243	1.554363649
244	1.551176109
245	1.546560719
246	1.541255743
247	1.537174903
248	1.533561677
249	1.529606184
250	1.526065264
251	1.521870756
252	1.519025773
253	1.515393876
254	1.511202607
255	1.507324906
256	1.502417644
257	1.499038616
258	1.49478038
259	1.491644915
260	1.487439417
261	1.483943447
262	1.480612175
263	1.477761576
264	1.474057901
265	1.469991779
266	1.465584915
267	1.461399926
268	1.458363733
269	1.455579213
270	1.45175648
271	1.448838622
272	1.445390421
273	1.442072763
274	1.439691244
275	1.435075723
276	1.432473244
277	1.42903824
278	1.42559368
279	1.422754538
280	1.419787799
281	1.417600441
282	1.414114983
283	1.410115217
284	1.407628711
285	1.405026961
286	1.400978135
287	1.398088342
288	1.394965542
289	1.392529286
290	1.3892067
291	1.386716602
292	1.384351594
293	1.381264005
294	1.379328472
295	1.377150796
296	1.373363688
297	1.371139912
298	1.36918095
299	1.365994196
300	1.361862524
301	1.358797844
302	1.354840913
303	1.351497833
304	1.349148354
305	1.346390621
306	1.344287373
307	1.341079559
308	1.337653675
309	1.335002175
310	1.331791175
311	1.329197437
312	1.326296968
313	1.323210319
314	1.320133293
315	1.316442484
316	1.313759085
317	1.310718001
318	1.309110901
319	1.307487918
320	1.304954695
321	1.301988346
322	1.29919438
323	1.296470156
324	1.29416983
325	1.290958838
326	1.288678408
327	1.284702801
328	1.281369761
329	1.279935275
330	1.27715485
331	1.274253884
332	1.271781669
333	1.270036565
334	1.267441506
335	1.265722294
336	1.262785275
337	1.260497185
338	1.258575416
339	1.256434716
340	1.254247217
341	1.251543616
342	1.248674586
343	1.246347943
344	1.243326323
345	1.241193908
346	1.238651015
347	1.236177435
348	1.23399804
349	1.23118943
350	1.229212651
351	1.227058105
352	1.224771876
353	1.222889999
354	1.219634077
355	1.217576157
356	1.214694743
357	1.213022348
358	1.21132209
359	1.20950465
360	1.207748933
361	1.204915247
362	1.202950106
363	1.201180745
364	1.198976054
365	1.196883299
366	1.195248881
367	1.19257794
368	1.191479851
369	1.189205637
370	1.187756148
371	1.185504438
372	1.182818077
373	1.180810922
374	1.178676915
375	1.176123024
376	1.17432712
377	1.172137448
378	1.170955224
379	1.169291474
380	1.167106248
381	1.166019688
382	1.165895526
383	1.164011597
384	1.163564547
385	1.1610964
386	1.159166711
387	1.1562802
388	1.154488276
389	1.153040702
390	1.151316959
391	1.150116763
392	1.148198752
393	1.14712844
394	1.14521444
395	1.143009092
396	1.140793776
397	1.138905533
398	1.135925253
399	1.13352779
400	1.13141365
401	1.129562008
402	1.128346698
403	1.126570222
404	1.125470915
405	1.123444054
406	1.122723305
407	1.119894201
408	1.117934311
409	1.116128971
410	1.115875392
411	1.115633203
412	1.114065997
413	1.112491192
414	1.110551002
415	1.108881869
416	1.107081224
417	1.107004478
418	1.106917207
419	1.104898529
420	1.102740845
421	1.100930871
422	1.099170243
423	1.097218695
424	1.09587984
425	1.094379369
426	1.09429569
427	1.09199324
428	1.090594253
429	1.089142871
430	1.087308385
431	1.085825995
432	1.084412023
433	1.082587837
434	1.080848206
435	1.079589472
436	1.077587145
437	1.076356222
438	1.074433342
439	1.073058887
440	1.072991014
441	1.07171389
442	1.069918577
443	1.068348728
444	1.066725563
445	1.06505314
446	1.063218017
447	1.061114434
448	1.0597599
449	1.058551623
450	1.057302147
451	1.055403369
452	1.055332302
453	1.053252639
454	1.051371682
455	1.049201048
456	1.047837677
457	1.046578061
458	1.044383493
459	1.042768938
460	1.042702504
461	1.042635851
462	1.042572958
463	1.041161943
464	1.039455269
465	1.037624461
466	1.03723895
467	1.036451955
468	1.034910258
469	1.033832228
470	1.031906569
471	1.03035911
472	1.028647217
473	1.02857805
474	1.026390049
475	1.025328143
476	1.024224584
477	1.022579242
478	1.021397575
479	1.020310651
480	1.018501395
481	1.017023573
482	1.015789926
483	1.01572654
484	1.014173095
485	1.01258835
486	1.011485674
487	1.010241101
488	1.010179792
489	1.009056573
490	1.007521583
491	1.006131097
492	1.006063372
493	1.004738568
494	1.003767634
495	1.002427058
496	1.001447681
497	1.000609265
498	0.9993351648
499	0.9977616844
500	0.9960844621
501	0.9955142619
502	0.9946012507
503	0.9939450699
504	0.9924683755
505	0.9910809196
506	0.9894143122
507	0.9886124869
508	0.9871996817
509	0.9855990843
510	0.9845859829
511	0.9827946019
512	0.981120191
513	0.9808582517
514	0.9788430952
515	0.9767618683
516	0.9753172536
517	0.9743791055
518	0.9732487341
519	0.9715414589
520	0.9701127179
521	0.9689462612
522	0.9671313552
523	0.9658527651
524	0.9649937651
525	0.9632986455
526	0.9623338659
527	0.9609316306
528	0.9596646136
529	0.9585713334
530	0.9575287928
531	0.9565638326
532	0.9545545372
533	0.9529801318
534	0.9516068869
535	0.9508389789
536	0.9496314012
537	0.9486418696
538	0.947563662
539	0.9462944947
540	0.9450051048
541	0.9442730744
542	0.9429843264
543	0.9421213086
544	0.9413884895
545	0.9401704783
546	0.9390512714
