iter	Passed	Remaining
0	50	50086
1	52	25969
2	53	17897
3	55	13853
4	57	11424
5	59	9811
6	61	8661
7	62	7806
8	64	7138
9	66	6596
10	68	6151
11	70	5787
12	72	5474
13	73	5204
14	75	4972
15	77	4769
16	79	4585
17	81	4421
18	82	4281
19	84	4152
20	86	4043
21	88	3933
22	90	3837
23	92	3746
24	93	3664
25	95	3585
26	97	3513
27	99	3446
28	101	3387
29	103	3331
30	104	3277
31	106	3225
32	108	3177
33	110	3135
34	112	3091
35	113	3050
36	115	3012
37	117	2976
38	119	2948
39	121	2916
40	123	2883
41	125	2854
42	126	2823
43	128	2796
44	130	2769
45	132	2741
46	134	2717
47	135	2696
48	137	2673
49	139	2653
50	141	2638
51	143	2618
52	145	2603
53	147	2584
54	149	2565
55	151	2551
56	153	2535
57	155	2517
58	156	2501
59	158	2485
60	160	2470
61	162	2455
62	164	2441
63	165	2425
64	167	2413
65	169	2399
66	171	2385
67	173	2373
68	174	2359
69	176	2349
70	178	2337
71	180	2325
72	182	2315
73	184	2303
74	185	2291
75	187	2280
76	189	2268
77	191	2266
78	193	2255
79	195	2244
80	196	2233
81	198	2226
82	200	2216
83	202	2206
84	204	2198
85	205	2188
86	207	2179
87	209	2169
88	211	2160
89	212	2152
90	214	2145
91	216	2137
92	218	2128
93	219	2119
94	221	2111
95	223	2103
96	225	2096
97	226	2088
98	228	2080
99	230	2074
100	232	2068
101	234	2061
102	235	2053
103	237	2046
104	239	2038
105	240	2031
106	242	2024
107	244	2018
108	246	2012
109	247	2006
110	249	1999
111	251	1992
112	253	1986
113	254	1980
114	256	1974
115	258	1968
116	260	1962
117	261	1957
118	263	1954
119	265	1948
120	267	1943
121	269	1938
122	271	1932
123	272	1928
124	274	1922
125	276	1917
126	278	1912
127	280	1909
128	281	1903
129	283	1898
130	285	1893
131	287	1889
132	289	1887
133	291	1882
134	293	1878
135	295	1879
136	297	1875
137	299	1871
138	301	1866
139	303	1863
140	305	1858
141	307	1856
142	309	1852
143	311	1849
144	313	1845
145	314	1841
146	316	1837
147	319	1836
148	321	1834
149	322	1830
150	324	1825
151	326	1822
152	328	1819
153	333	1830
154	334	1826
155	336	1821
156	338	1816
157	340	1812
158	341	1808
159	343	1804
160	345	1800
161	347	1796
162	348	1791
163	350	1787
164	352	1783
165	353	1778
166	355	1773
167	357	1769
168	359	1766
169	361	1763
170	362	1759
171	364	1755
172	366	1751
173	368	1747
174	369	1743
175	371	1739
176	373	1735
177	375	1732
178	376	1728
179	378	1725
180	380	1721
181	382	1720
182	390	1745
183	392	1741
184	394	1737
185	396	1733
186	397	1729
187	399	1726
188	401	1722
189	403	1718
190	404	1715
191	406	1711
192	408	1707
193	410	1704
194	411	1700
195	413	1696
196	415	1692
197	417	1690
198	418	1686
199	420	1682
200	422	1680
201	424	1677
202	426	1673
203	428	1670
204	429	1666
205	431	1663
206	433	1660
207	435	1656
208	436	1652
209	438	1649
210	440	1646
211	442	1643
212	443	1639
213	445	1636
214	447	1633
215	449	1629
216	450	1626
217	452	1623
218	454	1620
219	456	1617
220	458	1615
221	460	1614
222	462	1611
223	464	1608
224	465	1604
225	467	1601
226	469	1598
227	471	1595
228	472	1592
229	474	1589
230	476	1586
231	478	1582
232	479	1580
233	481	1576
234	483	1574
235	486	1573
236	489	1575
237	491	1574
238	493	1571
239	496	1572
240	498	1570
241	500	1569
242	503	1569
243	506	1568
244	508	1568
245	511	1568
246	514	1568
247	516	1565
248	518	1562
249	520	1560
250	527	1575
251	530	1574
252	532	1571
253	534	1568
254	536	1566
255	537	1563
256	539	1560
257	541	1558
258	543	1555
259	546	1554
260	548	1553
261	550	1550
262	552	1548
263	555	1547
264	558	1547
265	560	1547
266	563	1546
267	565	1544
268	567	1543
269	570	1543
270	573	1542
271	576	1541
272	578	1540
273	581	1541
274	584	1541
275	587	1540
276	589	1538
277	591	1536
278	593	1533
279	595	1530
280	597	1527
281	598	1524
282	601	1524
283	604	1524
284	606	1521
285	608	1518
286	610	1517
287	613	1516
288	616	1516
289	620	1518
290	622	1516
291	624	1514
292	626	1511
293	628	1508
294	630	1505
295	632	1505
296	634	1502
297	636	1500
298	639	1498
299	640	1495
300	644	1496
301	646	1494
302	649	1493
303	651	1490
304	653	1490
305	655	1487
306	657	1484
307	659	1482
308	661	1479
309	663	1476
310	665	1474
311	667	1472
312	670	1470
313	672	1468
314	675	1467
315	677	1466
316	680	1466
317	684	1467
318	686	1464
319	695	1478
320	699	1479
321	701	1476
322	703	1474
323	706	1473
324	709	1472
325	711	1470
326	713	1469
327	715	1466
328	719	1466
329	721	1464
330	723	1461
331	725	1459
332	727	1456
333	730	1456
334	732	1454
335	735	1453
336	737	1450
337	739	1447
338	741	1445
339	743	1443
340	746	1442
341	748	1440
342	751	1438
343	752	1435
344	755	1433
345	756	1430
346	758	1427
347	760	1424
348	762	1422
349	765	1420
350	767	1418
351	769	1416
352	772	1415
353	775	1414
354	778	1413
355	781	1413
356	783	1410
357	786	1409
358	788	1407
359	790	1405
360	793	1404
361	796	1403
362	798	1400
363	799	1397
364	801	1394
365	803	1391
366	805	1389
367	807	1386
368	810	1385
369	812	1382
370	814	1380
371	815	1377
372	819	1377
373	823	1378
374	826	1377
375	828	1375
376	830	1372
377	832	1369
378	834	1366
379	836	1364
380	837	1361
381	839	1358
382	841	1355
383	843	1352
384	845	1350
385	846	1347
386	848	1344
387	850	1341
388	852	1338
389	854	1335
390	856	1333
391	858	1331
392	860	1329
393	862	1326
394	864	1323
395	866	1321
396	869	1320
397	871	1317
398	872	1314
399	874	1312
400	878	1312
401	881	1311
402	883	1308
403	886	1307
404	889	1306
405	891	1304
406	894	1303
407	896	1300
408	899	1299
409	901	1297
