S.No.,sofifa_id,short_name,long_name,Market_Value_DV,Wages_DV,age,pace,shooting,passing,dribbling,defending,physic,Mins_Total,Goals_total,Assists_Total,Shots_per_game_total,Yellow_Cards_Total,Red_Cards_Total,Aerial_Battles_Won_Per_Game_Total,Man_of_The_Match_Total,Market_Value_IV,Wages_IV,Player_international_reputation,weak_foot,Club_Int_Prestige,Club_Domestic_Prestige,Player_Continent,Club_Continent,preferred_foot,Position_Final
1,190871,Neymar Jr,Neymar da Silva Santos Junior,105.5,300,27,91,85,87,95,32,58,1976,20,9,7.200000286,4,0,0.699999988,11,105.5,300,5,5,9,10,South America,Europe Tier 1,Right,"Attacking Midfield,Forward"
2,158023,L. Messi,Lionel Andrés Messi Cuccittini,95.5,575,32,87,92,92,96,39,66,3547,48,16,10.39999962,3,0,0.300000012,24,95.5,575,5,4,10,10,South America,Europe Tier 1,Left,"Attacking Midfield,Forward"
3,231747,K. Mbappé,Kylian Mbappé,93.5,150,20,96,84,78,90,39,75,3045,37,12,7.900000095,6,1,0.100000001,10,93.5,150,3,4,9,10,Europe,Europe Tier 1,Right,"Attacking Midfield,Forward"
4,183277,E. Hazard,Eden Hazard,90,475,28,91,83,86,94,35,66,3377,18,17,3.5,2,0,0.5,16,90,475,4,4,10,10,Europe,Europe Tier 1,Right,"Attacking Midfield,Forward"
5,192985,K. De Bruyne,Kevin De Bruyne,90,375,28,76,86,92,86,61,78,1225,2,6,3.399999857,2,0,0.800000012,2,90,375,4,5,9,10,Europe,Europe Tier 1,Right,"Attacking Midfield,Forward"
6,202126,H. Kane,Harry Kane,83,225,25,70,91,79,81,47,83,3205,22,5,7.199999809,6,0,3.899999857,7,83,225,3,4,7,8,Europe,Europe Tier 1,Right,"Attacking Midfield,Forward"
7,209331,M. Salah,Mohamed  Salah Ghaly,80.5,225,27,93,86,81,89,45,74,4320,27,10,7.900000095,2,0,0.699999988,8,80.5,225,3,3,10,9,Africa,Europe Tier 1,Left,"Attacking Midfield,Forward"
8,203376,V. van Dijk,Virgil van Dijk,78,200,27,77,60,70,71,90,86,4465,6,4,1.600000024,4,0,8.199999809,4,78,200,3,3,10,9,Europe,Europe Tier 1,Right,Defense
9,211110,P. Dybala,Paulo Bruno Exequiel Dybala,76.5,225,25,83,82,84,90,43,64,2657,10,4,4.5,3,0,0.200000003,5,76.5,225,3,3,10,10,South America,Europe Tier 1,Left,"Attacking Midfield,Forward"
10,202652,R. Sterling,Raheem Sterling,73,250,24,93,79,78,89,45,57,3648,22,12,4.599999905,4,0,0.699999988,9,73,250,3,3,9,10,Europe,Europe Tier 1,Right,"Attacking Midfield,Forward"
11,195864,P. Pogba,Paul Pogba,72.5,250,26,74,81,86,85,66,86,3742,15,10,4.700000286,6,1,3.100000143,8,72.5,250,4,4,7,8,Europe,Europe Tier 1,Right,Midfield (Attacking/Defensive)
12,194765,A. Griezmann,Antoine Griezmann,69,375,28,81,86,84,89,57,72,3924,19,11,5.899999619,7,0,2.100000143,7,69,375,4,3,10,10,Europe,Europe Tier 1,Left,"Attacking Midfield,Forward"
13,190460,C. Eriksen,Christian  Dannemann Eriksen,68,200,27,73,81,90,84,53,63,3775,10,16,4.699999809,3,0,0.600000024,3,68,200,3,5,7,8,Europe,Europe Tier 1,Right,Midfield (Attacking/Defensive)
14,201024,K. Koulibaly,Kalidou Koulibaly,67.5,150,28,71,28,54,67,89,87,4124,2,2,2.399999857,13,1,6.900000095,2,67.5,150,3,3,7,9,Africa,Europe Tier 1,Right,Defense
15,215914,N. Kanté,N'Golo Kanté,66,225,28,78,65,77,81,87,83,3676,4,4,1,4,0,0.900000036,1,66,225,3,3,7,8,Europe,Europe Tier 1,Right,Defensive Midfield
16,188545,R. Lewandowski,Robert Lewandowski,64.5,225,30,77,87,74,85,41,82,3673,30,7,7.699999809,2,0,4.300000191,7,64.5,225,4,4,9,10,Europe,Europe Tier 1,Right,Forward
17,218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,64,200,24,81,76,83,92,51,67,3431,11,8,3.200000048,3,0,0.400000006,4,64,200,2,3,9,10,Europe,Europe Tier 1,Left,Midfield (Attacking/Defensive)
18,208722,S. Mané,Sadio Mané,62,225,27,94,83,77,89,44,74,4238,26,2,4.300000191,4,0,2.399999857,8,62,225,3,4,10,9,Africa,Europe Tier 1,Right,"Attacking Midfield,Forward"
19,222492,L. Sané,Leroy Sané,61,190,23,95,81,79,86,38,70,2262,14,14,3.299999952,1,0,0.400000006,3,61,190,2,3,9,10,Europe,Europe Tier 1,Left,Midfield (Attacking/Defensive)
20,153079,S. Agüero,Sergio Leonel Agüero del Castillo,60,300,31,80,90,77,88,33,74,2990,27,9,7.900000095,5,0,1.399999976,6,60,300,4,4,9,10,South America,Europe Tier 1,Right,"Attacking Midfield,Forward"
21,200104,H. Son,H. Son,60,180,26,88,86,80,87,42,68,2955,16,7,5.199999809,5,1,0.400000006,4,60,180,3,5,7,8,Asia,Europe Tier 1,Right,"Attacking Midfield,Forward"
22,20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,58.5,400,34,90,93,82,89,35,78,3438,27,10,11,4,1,3.100000143,12,58.5,400,5,4,10,10,Europe,Europe Tier 1,Right,"Attacking Midfield,Forward"
23,182521,T. Kroos,Toni Kroos,57,325,29,45,80,90,81,70,69,2872,1,6,2.600000143,3,0,1.400000095,3,57,325,4,5,10,10,Europe,Europe Tier 1,Right,Midfield (Attacking/Defensive)
24,188567,P. Aubameyang,Pierre-Emerick Aubameyang,57,200,30,94,85,75,80,37,69,3668,30,7,6.5,1,0,2.199999809,7,57,200,3,4,7,7,Africa,Europe Tier 1,Right,"Attacking Midfield,Forward"
