S.No.,sofifa_id,short_name,long_name,age,nationality,Player_Continent,Club_Continent,Club_Int_Prestige,Club_Domestic_Prestige,Value,Wages,preferred_foot,Player_international_reputation,weak_foot,pace,shooting,passing,dribbling,defending,physic,Position_Final,Mins_Total,Goals_total,Assists_Total,Shots_per_game_total,Yellow_Cards_Total,Red_Cards_Total,Aerial_Battles_Won_Per_Game_Total,Man_of_The_Match_Total
1,190871,Neymar Jr,Neymar da Silva Santos Junior,27,Brazil,South America,Europe Tier 1,9,10,105500000,3.00E+05,Right,5,5,91,85,87,95,32,58,"Attacking Midfield,Forward",1976,20,9,7.200000286,4,0,0.699999988,11
2,158023,L. Messi,Lionel Andrés Messi Cuccittini,32,Argentina,South America,Europe Tier 1,10,10,95500000,575000,Left,5,4,87,92,92,96,39,66,"Attacking Midfield,Forward",3547,48,16,10.39999962,3,0,0.300000012,24
3,231747,K. Mbappé,Kylian Mbappé,20,France,Europe,Europe Tier 1,9,10,93500000,150000,Right,3,4,96,84,78,90,39,75,"Attacking Midfield,Forward",3045,37,12,7.900000095,6,1,0.100000001,10
4,183277,E. Hazard,Eden Hazard,28,Belgium,Europe,Europe Tier 1,10,10,9.00E+07,475000,Right,4,4,91,83,86,94,35,66,"Attacking Midfield,Forward",3377,18,17,3.5,2,0,0.5,16
5,192985,K. De Bruyne,Kevin De Bruyne,28,Belgium,Europe,Europe Tier 1,9,10,9.00E+07,375000,Right,4,5,76,86,92,86,61,78,"Attacking Midfield,Forward",1225,2,6,3.399999857,2,0,0.800000012,2
6,202126,H. Kane,Harry Kane,25,England,Europe,Europe Tier 1,7,8,8.30E+07,225000,Right,3,4,70,91,79,81,47,83,"Attacking Midfield,Forward",3205,22,5,7.199999809,6,0,3.899999857,7
7,209331,M. Salah,Mohamed  Salah Ghaly,27,Egypt,Africa,Europe Tier 1,10,9,80500000,225000,Left,3,3,93,86,81,89,45,74,"Attacking Midfield,Forward",4320,27,10,7.900000095,2,0,0.699999988,8
8,203376,V. van Dijk,Virgil van Dijk,27,Netherlands,Europe,Europe Tier 1,10,9,7.80E+07,2.00E+05,Right,3,3,77,60,70,71,90,86,Defense,4465,6,4,1.600000024,4,0,8.199999809,4
9,211110,P. Dybala,Paulo Bruno Exequiel Dybala,25,Argentina,South America,Europe Tier 1,10,10,76500000,225000,Left,3,3,83,82,84,90,43,64,"Attacking Midfield,Forward",2657,10,4,4.5,3,0,0.200000003,5
10,202652,R. Sterling,Raheem Sterling,24,England,Europe,Europe Tier 1,9,10,7.30E+07,250000,Right,3,3,93,79,78,89,45,57,"Attacking Midfield,Forward",3648,22,12,4.599999905,4,0,0.699999988,9
11,195864,P. Pogba,Paul Pogba,26,France,Europe,Europe Tier 1,7,8,72500000,250000,Right,4,4,74,81,86,85,66,86,Midfield (Attacking/Defensive),3742,15,10,4.700000286,6,1,3.100000143,8
12,194765,A. Griezmann,Antoine Griezmann,28,France,Europe,Europe Tier 1,10,10,6.90E+07,375000,Left,4,3,81,86,84,89,57,72,"Attacking Midfield,Forward",3924,19,11,5.899999619,7,0,2.100000143,7
13,190460,C. Eriksen,Christian  Dannemann Eriksen,27,Denmark,Europe,Europe Tier 1,7,8,6.80E+07,2.00E+05,Right,3,5,73,81,90,84,53,63,Midfield (Attacking/Defensive),3775,10,16,4.699999809,3,0,0.600000024,3
14,201024,K. Koulibaly,Kalidou Koulibaly,28,Senegal,Africa,Europe Tier 1,7,9,67500000,150000,Right,3,3,71,28,54,67,89,87,Defense,4124,2,2,2.399999857,13,1,6.900000095,2
15,215914,N. Kanté,N'Golo Kanté,28,France,Europe,Europe Tier 1,7,8,6.60E+07,225000,Right,3,3,78,65,77,81,87,83,Defensive Midfield,3676,4,4,1,4,0,0.900000036,1
16,188545,R. Lewandowski,Robert Lewandowski,30,Poland,Europe,Europe Tier 1,9,10,64500000,225000,Right,4,4,77,87,74,85,41,82,Forward,3673,30,7,7.699999809,2,0,4.300000191,7
17,218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,24,Portugal,Europe,Europe Tier 1,9,10,6.40E+07,2.00E+05,Left,2,3,81,76,83,92,51,67,Midfield (Attacking/Defensive),3431,11,8,3.200000048,3,0,0.400000006,4
18,208722,S. Mané,Sadio Mané,27,Senegal,Africa,Europe Tier 1,10,9,6.20E+07,225000,Right,3,4,94,83,77,89,44,74,"Attacking Midfield,Forward",4238,26,2,4.300000191,4,0,2.399999857,8
19,222492,L. Sané,Leroy Sané,23,Germany,Europe,Europe Tier 1,9,10,6.10E+07,190000,Left,2,3,95,81,79,86,38,70,Midfield (Attacking/Defensive),2262,14,14,3.299999952,1,0,0.400000006,3
20,153079,S. Agüero,Sergio Leonel Agüero del Castillo,31,Argentina,South America,Europe Tier 1,9,10,6.00E+07,3.00E+05,Right,4,4,80,90,77,88,33,74,"Attacking Midfield,Forward",2990,27,9,7.900000095,5,0,1.399999976,6
21,200104,H. Son,H. Son,26,Korea Republic,Asia,Europe Tier 1,7,8,6.00E+07,180000,Right,3,5,88,86,80,87,42,68,"Attacking Midfield,Forward",2955,16,7,5.199999809,5,1,0.400000006,4
