S.No.,sofifa_id,short_name,long_name,Market_Value_DV,Wages_DV,age,pace,shooting,passing,dribbling,defending,physic,Mins_Total,Goals_total,Assists_Total,Shots_per_game_total,Yellow_Cards_Total,Red_Cards_Total,Aerial_Battles_Won_Per_Game_Total,Man_of_The_Match_Total,Market_Value_IV,Wages_IV,Player_international_reputation,weak_foot,Club_Int_Prestige,Club_Domestic_Prestige,Player_Continent,Club_Continent,preferred_foot,Position_Final
1,190871,Neymar Jr,Neymar da Silva Santos Junior,105.5,300,8.392304845,4140,3612,3784,285791.3333,511.5,65037,1976,20,9,1.301569716,4,0,0.466070017,11,4.658710953,5.703782475,5,5,9,10,South America,Europe Tier 1,Right,"Attacking Midfield,Forward"
2,158023,L. Messi,Lionel Andrés Messi Cuccittini,95.5,575,9.313708499,3784,4231.5,4231.5,294911.6667,760,95831.66667,3547,48,16,1.407651112,3,0,0.245883969,24,4.559126247,6.354370041,5,4,10,10,South America,Europe Tier 1,Left,"Attacking Midfield,Forward"
3,231747,K. Mbappé,Kylian Mbappé,93.5,150,6.94427191,4607.5,3527.5,3041.5,242999.6667,760,140624.6667,3045,37,12,1.32959848,6,1,0.093074822,10,4.537961436,5.010635294,3,4,9,10,Europe,Europe Tier 1,Right,"Attacking Midfield,Forward"
4,183277,E. Hazard,Eden Hazard,90,475,8.583005244,4140,3444,3697.5,276861,612,95831.66667,3377,18,17,1.057190958,2,0,0.367006838,16,4.49980967,6.163314804,4,4,10,10,Europe,Europe Tier 1,Right,"Attacking Midfield,Forward"
5,192985,K. De Bruyne,Kevin De Bruyne,90,375,8.583005244,2887.5,3697.5,4231.5,212018.3333,1860,158183.6667,1225,2,6,1.046537395,2,0,0.50928802,2,4.49980967,5.926926026,4,5,9,10,Europe,Europe Tier 1,Right,"Attacking Midfield,Forward"
6,202126,H. Kane,Harry Kane,83,225,8,2449.5,4140,3120,177146.6667,1104,190595.3333,3205,22,5,1.301569696,6,0,1.096492084,7,4.418840608,5.416100402,3,4,7,8,Europe,Europe Tier 1,Right,"Attacking Midfield,Forward"
7,209331,M. Salah,Mohamed  Salah Ghaly,80.5,225,8.392304845,4324,3697.5,3280,234989.3333,1012,135074.3333,4320,27,10,1.32959848,2,0,0.466070017,8,4.388257184,5.416100402,3,3,10,9,Africa,Europe Tier 1,Left,"Attacking Midfield,Forward"
8,203376,V. van Dijk,Virgil van Dijk,78,200,8.392304845,2964,1799.5,2449.5,119303.3333,4049.5,212018.3333,4465,6,4,0.75965266,4,0,1.34061952,4,4.356708827,5.298317367,3,3,10,9,Europe,Europe Tier 1,Right,Defense
9,211110,P. Dybala,Paulo Bruno Exequiel Dybala,76.5,225,8,3444,3361.5,3527.5,242999.6667,924,87381,2657,10,4,1.147197135,3,0,0.174258144,5,4.337290741,5.416100402,3,3,10,10,South America,Europe Tier 1,Left,"Attacking Midfield,Forward"
10,202652,R. Sterling,Raheem Sterling,73,250,7.797958971,4324,3120,3041.5,234989.3333,1012,61730.66667,3648,22,12,1.154845738,4,0,0.466070017,9,4.290459441,5.521460918,3,3,9,10,Europe,Europe Tier 1,Right,"Attacking Midfield,Forward"
11,195864,P. Pogba,Paul Pogba,72.5,250,8.198039027,2737.5,3280,3697.5,204708,2177.5,212018.3333,3742,15,10,1.162292204,6,1,1.012270421,8,4.283586562,5.521460918,4,4,7,8,Europe,Europe Tier 1,Right,Midfield (Attacking/Defensive)
12,194765,A. Griezmann,Antoine Griezmann,69,375,8.583005244,3280,3697.5,3527.5,234989.3333,1624,124415.6667,3924,19,11,1.238612991,7,0,0.864076358,7,4.234106505,5.926926026,4,3,10,10,Europe,Europe Tier 1,Left,"Attacking Midfield,Forward"
13,190460,C. Eriksen,Christian  Dannemann Eriksen,68,200,8.392304845,2664,3280,4049.5,197567.6667,1404,83348.66667,3775,10,16,1.162292169,3,0,0.418861182,3,4.219507705,5.298317367,3,5,7,8,Europe,Europe Tier 1,Right,Midfield (Attacking/Defensive)
14,201024,K. Koulibaly,Kalidou Koulibaly,67.5,150,8.583005244,2520,391.5,1457.5,100254,3960,219500.6667,4124,2,2,0.915347688,13,1,1.288431937,2,4.212127598,5.010635294,3,3,7,9,Africa,Europe Tier 1,Right,Defense
15,215914,N. Kanté,N'Golo Kanté,66,225,8.583005244,3041.5,2112,2964,177146.6667,3784,190595.3333,3676,4,4,0.585786438,4,0,0.549047514,1,4.189654742,5.416100402,3,3,7,8,Europe,Europe Tier 1,Right,Defensive Midfield
16,188545,R. Lewandowski,Robert Lewandowski,64.5,225,8.95445115,2964,3784,2737.5,204708,840,183789,3673,30,7,1.321936489,2,0,1.13125553,7,4.166665224,5.416100402,4,4,9,10,Europe,Europe Tier 1,Right,Forward
17,218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,64,200,7.797958971,3280,2887.5,3444,259562.3333,1300,100254,3431,11,8,1.024099933,3,0,0.309691494,4,4.158883083,5.298317367,2,3,9,10,Europe,Europe Tier 1,Left,Midfield (Attacking/Defensive)
18,208722,S. Mané,Sadio Mané,62,225,8.392304845,4417.5,3444,2964,234989.3333,967.5,135074.3333,4238,26,2,1.13125553,4,0,0.915347688,8,4.127134385,5.416100402,3,4,10,9,Africa,Europe Tier 1,Right,"Attacking Midfield,Forward"
19,222492,L. Sané,Leroy Sané,61,190,7.591663047,4512,3280,3120,212018.3333,721.5,114333,2262,14,14,1.03551435,1,0,0.309691494,3,4.110873864,5.247024072,2,3,9,10,Europe,Europe Tier 1,Left,Midfield (Attacking/Defensive)
20,153079,S. Agüero,Sergio Leonel Agüero del Castillo,60,300,9.135528726,3199.5,4049.5,2964,227157,544,135074.3333,2990,27,9,1.32959848,5,0,0.709005545,6,4.094344562,5.703782475,4,4,9,10,South America,Europe Tier 1,Right,"Attacking Midfield,Forward"
21,200104,H. Son,H. Son,60,180,8.198039027,3871.5,3697.5,3199.5,219500.6667,881.5,104810.3333,2955,16,7,1.196780659,5,1,0.309691494,4,4.094344562,5.192956851,3,5,7,8,Asia,Europe Tier 1,Right,"Attacking Midfield,Forward"
22,20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,58.5,400,9.66190379,4049.5,4324,3361.5,234989.3333,612,158183.6667,3438,27,10,1.422649731,4,1,1.012270421,12,4.069026754,5.991464547,5,4,10,10,Europe,Europe Tier 1,Right,"Attacking Midfield,Forward"
23,182521,T. Kroos,Toni Kroos,57,325,8.770329614,1012,3199.5,4049.5,177146.6667,2449.5,109502.6667,2872,1,6,0.945907468,3,0,0.709005577,3,4.043051268,5.783825182,4,5,10,10,Europe,Europe Tier 1,Right,Midfield (Attacking/Defensive)
24,188567,P. Aubameyang,Pierre-Emerick Aubameyang,57,200,8.95445115,4417.5,3612,2812,170666.3333,684,109502.6667,3668,30,7,1.269703257,1,0,0.881965978,7,4.043051268,5.298317367,3,4,7,7,Africa,Europe Tier 1,Right,"Attacking Midfield,Forward"
25,212218,A. Laporte,Aymeric  Laporte,56.5,190,8,2047.5,1249.5,2520,104810.3333,3871.5,183789,3939,5,3,0.681239039,4,0,1.169545215,1,4.034240638,5.247024072,2,3,9,10,Europe,Europe Tier 1,Left,Defense
26,188350,M. Reus,Marco Reus,56,170,8.95445115,3612,3871.5,3527.5,219500.6667,1012,95831.66667,2846,18,9,1.13125553,4,1,0.735088936,6,4.025351691,5.135798437,4,4,7,9,Europe,Europe Tier 1,Right,"Attacking Midfield,Forward"
27,189511,Sergio Busquets,Sergio Busquets i Burgos,55,300,8.95445115,881.5,1921.5,3199.5,170666.3333,3612,170666.3333,3755,0,2,0.367006838,13,0,0.974021641,0,4.007333185,5.703782475,4,3,10,10,Europe,Europe Tier 1,Right,Defensive Midfield
28,199556,M. Verratti,Marco Verratti,54.5,140,8.198039027,2112,1799.5,3527.5,242999.6667,3120,95831.66667,2488,0,2,0.309691494,9,0,0.367006838,1,3.998200702,4.941642423,3,4,9,10,Europe,Europe Tier 1,Right,Defensive Midfield
29,200145,Casemiro,Carlos Henrique Venancio Casimiro,53.5,225,8.392304845,1921.5,2591.5,2812,124415.6667,3612,234989.3333,2821,4,0,0.88196602,5,1,1.183503419,4,3.979681654,5.416100402,3,3,10,10,South America,Europe Tier 1,Right,Defensive Midfield
30,176580,L. Suárez,Luis Alberto Suárez Díaz,53,350,9.313708499,2664,3960,3199.5,197567.6667,1300,197567.6667,3730,22,9,1.301569696,8,0,0.735088936,5,3.970291914,5.857933154,5,4,10,10,South America,Europe Tier 1,Right,"Attacking Midfield,Forward"
31,228702,F. de Jong,Frenkie de Jong,52,190,7.38083152,3120,2047.5,3527.5,219500.6667,2887.5,146325,3503,3,3,0.709005545,2,0,0.974021674,2,3.951243719,5.247024072,3,3,10,10,Europe,Europe Tier 1,Right,"Defensive Midfield,Defense"
32,201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,52,170,8.392304845,2964,3361.5,3199.5,219500.6667,1860,158183.6667,3368,16,7,1.067495206,0,0,0.735088936,4,3.951243719,5.135798437,3,4,10,9,South America,Europe Tier 1,Right,"Attacking Midfield,Forward"
33,198219,L. Insigne,Lorenzo Insigne,52,140,8.583005244,3960,3120,3612,251190,612,34607.33333,2889,14,6,1.376823053,7,1,0.418861182,3,3.951243719,4.941642423,3,4,7,9,Europe,Europe Tier 1,Right,"Attacking Midfield,Forward"
34,232363,M. Škriniar,Milan Škriniar,52,90,7.797958971,2380,840,1740,95831.66667,3784,183789,3947,0,1,0.782838745,8,0,1.183503419,0,3.951243719,4.49980967,1,4,7,9,Europe,Europe Tier 1,Right,Defense
35,207865,Marquinhos,Marcos  Aoás Corrêa,51.5,120,8,2737.5,840,2664,114333,3697.5,152177.3333,3325,4,1,0.50928802,4,1,1.024099905,0,3.941581808,4.787491743,3,3,9,10,South America,Europe Tier 1,Right,"Defensive Midfield,Defense"
36,197781,Isco,Francisco Román Alarcón Suárez,51,250,8.392304845,2520,2964,3444,251190,1740,71999.66667,1439,4,2,0.987260645,4,0,0.245883969,1,3.931825633,5.521460918,3,3,10,10,Europe,Europe Tier 1,Right,"Attacking Midfield,Forward"
37,223848,S. Milinkovic-Savic,Sergej Milinkovic-Savic,50.5,70,7.797958971,2244,3120,3199.5,190595.3333,2964,197567.6667,2708,5,3,1.096492084,9,1,1.254643998,2,3.921973336,4.248495242,2,4,6,7,Europe,Europe Tier 1,Right,Attacking Midfield
38,205600,S. Umtiti,Samuel Umtiti,50,200,8,2380,1984,2380,109502.6667,3697.5,183789,1269,0,1,0.093074822,4,1,0.825559556,0,3.912023005,5.298317367,3,3,10,10,Europe,Europe Tier 1,Left,Defense
